order_number,sales_channel,warehouse_code,warehouse_branch_code,warehouse_location,store_location,store_id,store_branch_id,customer_id,customer_gender,product_id,product_category,product_type,payment_type,procured_date,procured_date_year,procured_date_month,order_date,order_date_year,order_date_month,ship_date,ship_date_year,ship_date_month,delivery_date,delivery_date_year,delivery_date_month,salesteam_id,salesteam_category,salesteam_name,order_quantity,discount_applied,unit_cost,unit_price,sale_price,profit,holding_cost
16503,In-Store,0,0,null,"Houston, TX",1,1001,34,Female,4694,111,Fashion accessories,Cash,2021-06-13,2021,6,2021-07-02,2021,7,2021-07-03,2021,7,2021-07-07,2021,7,4694,1,Team Alpha,6,0.10,903.76,1922.90,1730.61,826.85,3
16521,In-Store,0,0,null,"Houston, TX",2,1001,103,Female,4695,111,Fashion accessories,Cash,2022-03-12,2022,3,2022-04-07,2022,4,2022-04-14,2022,4,2022-04-24,2022,4,4695,1,Team Alpha,4,0.08,1331.02,3169.10,2931.42,1600.40,8
16522,In-Store,0,0,null,"Houston, TX",3,1001,116,Female,4696,111,Fashion accessories,Credit Card,2020-03-22,2020,3,2020-04-15,2020,4,2020-04-19,2020,4,2020-04-26,2020,4,4696,1,Team Alpha,5,0.05,561.06,1058.60,1005.67,444.61,8
16544,In-Store,0,0,null,"Houston, TX",4,1001,261,Male,4697,111,Fashion accessories,Credit Card,2022-07-05,2022,7,2022-07-19,2022,7,2022-07-20,2022,7,2022-07-29,2022,7,4697,1,Team Alpha,1,0.08,1626.49,2391.90,2212.51,586.02,8
16546,In-Store,0,0,null,"Houston, TX",5,1001,276,Male,4698,111,Fashion accessories,Cash,2022-06-03,2022,6,2022-06-30,2022,6,2022-07-09,2022,7,2022-07-22,2022,7,4698,1,Team Alpha,6,0.10,1049.22,1809.00,1628.10,578.88,9
16554,In-Store,0,0,null,"Houston, TX",6,1001,322,Male,4699,111,Fashion accessories,Ewallet,2021-10-07,2021,10,2021-10-31,2021,10,2021-11-09,2021,11,2021-11-24,2021,11,4699,1,Team Alpha,8,0.20,99.43,187.60,150.08,50.65,4
16561,In-Store,0,0,null,"Houston, TX",7,1001,350,Female,4700,111,Fashion accessories,Cash,2020-01-24,2020,1,2020-02-07,2020,2,2020-02-14,2020,2,2020-02-20,2020,2,4700,1,Team Alpha,1,0.20,1828.30,2539.30,2031.44,203.14,4
16597,In-Store,0,0,null,"Houston, TX",8,1001,576,Female,4701,111,Fashion accessories,Cash,2021-10-21,2021,10,2021-11-17,2021,11,2021-11-21,2021,11,2021-11-30,2021,11,4701,1,Team Alpha,4,0.05,93.80,187.60,178.22,84.42,10
16605,In-Store,0,0,null,"Houston, TX",9,1001,610,Female,4702,111,Fashion accessories,Credit Card,2022-03-07,2022,3,2022-03-10,2022,3,2022-03-13,2022,3,2022-03-15,2022,3,4702,1,Team Alpha,2,0.20,126.63,180.90,144.72,18.09,2
16620,In-Store,0,0,null,"Houston, TX",10,1001,684,Male,4703,111,Fashion accessories,Cash,2021-11-20,2021,11,2021-11-21,2021,11,2021-11-22,2021,11,2021-11-27,2021,11,4703,1,Team Alpha,3,0.05,793.28,991.60,942.02,148.74,4
16640,In-Store,0,0,null,"Houston, TX",11,1001,795,Female,4704,111,Fashion accessories,Ewallet,2021-03-22,2021,3,2021-04-18,2021,4,2021-04-21,2021,4,2021-04-23,2021,4,4704,1,Team Alpha,5,0.05,570.64,1118.90,1062.96,492.32,3
16689,In-Store,0,0,null,"Houston, TX",12,1001,1072,Male,4705,111,Fashion accessories,Cash,2021-02-27,2021,2,2021-03-08,2021,3,2021-03-14,2021,3,2021-03-28,2021,3,4705,1,Team Alpha,6,0.15,102.78,174.20,148.07,45.29,8
16755,In-Store,0,0,null,"Los Angeles, CA",13,2001,1499,Male,4706,111,Fashion accessories,Cash,2021-05-09,2021,5,2021-05-26,2021,5,2021-06-05,2021,6,2021-06-19,2021,6,4706,1,Team Alpha,1,0.10,3288.36,5480.60,4932.54,1644.18,2
16758,In-Store,0,0,null,"Los Angeles, CA",14,2001,1524,Male,4707,111,Fashion accessories,Credit Card,2020-05-20,2020,5,2020-06-01,2020,6,2020-06-11,2020,6,2020-06-18,2020,6,4707,1,Team Alpha,2,0.10,3027.60,3832.40,3449.16,421.56,8
